Date,Open,High,Low,Close,Adj Close,Volume
2020-12-21,40.000000,40.000000,39.500000,39.580002,39.580002,1600
2020-12-22,39.000000,40.500000,39.000000,40.500000,40.500000,2100
2020-12-23,40.740002,40.740002,40.740002,40.740002,40.740002,200
2020-12-24,40.549999,40.740002,40.549999,40.740002,40.740002,800
2020-12-28,40.980000,41.980000,40.980000,41.240002,41.240002,3300
2020-12-29,41.779999,41.980000,40.700001,41.980000,41.980000,700
2020-12-30,42.680000,42.680000,42.369999,42.500000,42.500000,3800
2020-12-31,43.500000,43.680000,43.500000,43.680000,43.680000,3400
2021-01-04,43.680000,44.369999,43.680000,44.369999,44.369999,4000
2021-01-05,44.099998,44.099998,43.500000,44.000000,44.000000,4100
2021-01-06,42.799999,43.000000,42.799999,43.000000,43.000000,2700
2021-01-07,42.500000,42.509998,41.200001,42.299999,42.299999,6700
2021-01-08,53.830002,55.400002,53.750000,54.349998,54.349998,98500
2021-01-11,65.330002,71.000000,64.000000,68.440002,68.440002,219100
2021-01-12,62.139999,62.139999,59.840000,60.000000,60.000000,165900
2021-01-13,59.689999,60.200001,55.939999,56.299999,56.299999,116200
2021-01-14,55.200001,55.450001,54.200001,54.200001,54.200001,91500
2021-01-15,53.759998,53.759998,51.790001,52.000000,52.000000,19500
2021-01-19,58.750000,58.750000,57.400002,57.750000,57.750000,41600
2021-01-20,57.000000,57.000000,54.040001,54.750000,54.750000,39600
2021-01-21,56.590000,57.740002,56.459999,57.130001,57.130001,14900
2021-01-22,56.000000,56.759998,55.570000,56.459999,56.459999,6000
2021-01-25,60.869999,61.250000,58.889999,59.000000,59.000000,59200
2021-01-26,58.900002,59.220001,56.500000,56.700001,56.700001,60100
2021-01-27,56.700001,56.700001,53.740002,53.740002,53.740002,38900
2021-01-28,55.189999,55.189999,53.750000,54.150002,54.150002,9400
2021-01-29,53.150002,53.790001,50.099998,50.490002,50.490002,57200
2021-02-01,54.590000,54.590000,53.169998,54.590000,54.590000,22900
2021-02-02,55.270000,55.290001,54.230000,54.720001,54.720001,41700
2021-02-03,55.700001,57.000000,55.540001,56.099998,56.099998,57500
2021-02-04,57.000000,59.000000,56.549999,58.490002,58.490002,148700
2021-02-05,58.799999,58.799999,56.939999,56.939999,56.939999,105800
2021-02-08,54.770000,55.500000,51.639999,53.049999,53.049999,123100
2021-02-09,54.380001,54.380001,52.580002,52.849998,52.849998,24500
2021-02-10,54.360001,55.000000,53.200001,53.500000,53.500000,30200
2021-02-11,54.040001,55.099998,54.040001,54.790001,54.790001,11000
2021-02-12,55.000000,55.400002,54.380001,54.650002,54.650002,6300
2021-02-16,54.250000,54.400002,52.740002,53.000000,53.000000,11800
2021-02-17,53.000000,53.810001,51.840000,52.630001,52.630001,12700
2021-02-18,49.700001,51.180000,49.700001,50.410000,50.410000,9600
2021-02-19,51.500000,52.070000,50.419998,50.880001,50.880001,27300
2021-02-22,48.860001,49.799999,48.349998,49.799999,49.799999,8700
2021-02-23,46.849998,48.209999,46.299999,47.750000,47.750000,8800
2021-02-24,48.270000,48.750000,47.570000,48.740002,48.740002,11200
2021-02-25,50.250000,50.250000,47.980000,48.150002,48.150002,32000
2021-02-26,48.000000,48.000000,47.000000,47.480000,47.480000,8600
2021-03-01,47.400002,49.259998,47.400002,49.259998,49.259998,32200
2021-03-02,49.779999,49.779999,48.000000,48.029999,48.029999,23200
2021-03-03,48.490002,49.799999,48.490002,48.889999,48.889999,3100
2021-03-04,48.860001,48.860001,46.660000,46.700001,46.700001,9300
2021-03-05,46.000000,46.500000,44.619999,45.740002,45.740002,11400
2021-03-08,46.880001,46.880001,45.160000,45.500000,45.500000,6800
2021-03-09,46.400002,46.650002,45.500000,46.650002,46.650002,4200
2021-03-10,46.849998,46.849998,45.500000,46.349998,46.349998,4400
2021-03-11,46.700001,46.750000,46.500000,46.750000,46.750000,13000
2021-03-12,47.880001,47.880001,45.900002,46.889999,46.889999,4100
2021-03-15,47.799999,47.799999,46.500000,46.509998,46.509998,5700
2021-03-16,46.750000,47.349998,46.419998,46.610001,46.610001,7300
2021-03-17,46.250000,47.000000,46.040001,47.000000,47.000000,4500
2021-03-18,47.000000,49.400002,47.000000,49.000000,49.000000,3000
2021-03-19,47.980000,48.599998,47.259998,48.599998,48.599998,1700
2021-03-22,48.650002,48.650002,46.500000,46.709999,46.709999,2900
2021-03-23,47.049999,47.049999,46.070000,46.119999,46.119999,4900
2021-03-24,46.070000,46.070000,43.950001,44.000000,44.000000,5100
2021-03-25,43.750000,44.250000,43.750000,44.250000,44.250000,2700
2021-03-26,43.930000,44.250000,43.880001,44.250000,44.250000,2000
2021-03-29,45.000000,45.040001,44.119999,45.040001,45.040001,13700
2021-03-30,45.150002,45.970001,45.040001,45.200001,45.200001,8700
2021-03-31,46.180000,46.180000,44.750000,44.750000,44.750000,4800
2021-04-01,46.900002,46.930000,46.000000,46.299999,46.299999,16700
2021-04-05,46.700001,48.580002,46.299999,48.419998,48.419998,25300
2021-04-06,48.580002,49.439999,48.000000,49.000000,49.000000,16200
2021-04-07,49.180000,49.180000,48.200001,49.000000,49.000000,12400
2021-04-08,49.180000,49.180000,48.099998,48.549999,48.549999,3400
2021-04-09,48.160000,48.500000,47.500000,48.000000,48.000000,21800
2021-04-12,48.500000,48.570000,47.500000,47.549999,47.549999,2100
2021-04-13,48.200001,48.970001,48.200001,48.740002,48.740002,1900
2021-04-14,49.200001,49.900002,49.200001,49.349998,49.349998,8000
2021-04-15,50.060001,50.250000,49.509998,50.000000,50.000000,4700
2021-04-16,50.500000,50.500000,49.650002,49.910000,49.910000,2100
2021-04-19,49.650002,49.980000,49.400002,49.470001,49.470001,5300
2021-04-20,49.259998,49.259998,47.529999,47.599998,47.599998,4400
2021-04-21,47.700001,48.259998,47.299999,47.689999,47.689999,2300
2021-04-22,48.169998,48.459999,46.770000,48.299999,48.299999,7000
2021-04-23,48.599998,48.599998,48.040001,48.599998,48.599998,2500
2021-04-26,48.000000,48.500000,48.000000,48.099998,48.099998,1400
2021-04-27,48.099998,49.570000,48.099998,49.200001,49.200001,2700
2021-04-28,48.750000,48.759998,48.099998,48.320000,48.320000,4700
2021-04-29,48.299999,49.000000,48.299999,48.349998,48.349998,6000
2021-04-30,48.349998,48.349998,47.000000,47.310001,47.310001,3000
2021-05-03,47.150002,48.060001,47.150002,48.000000,48.000000,4200
2021-05-04,48.099998,48.900002,47.500000,47.750000,47.750000,3700
2021-05-05,48.200001,48.599998,48.000000,48.000000,48.000000,3300
2021-05-06,47.610001,48.450001,47.610001,48.090000,48.090000,3300
2021-05-07,48.349998,51.000000,48.340000,50.000000,50.000000,10300
2021-05-10,51.509998,51.549999,50.500000,51.200001,51.200001,3000
2021-05-11,50.470001,50.470001,48.700001,49.500000,49.500000,14100
2021-05-12,49.000000,49.700001,48.700001,48.700001,48.700001,3500
2021-05-13,49.709999,49.799999,49.040001,49.380001,49.380001,1800
2021-05-14,49.930000,50.759998,49.930000,50.500000,50.500000,2700
2021-05-17,50.150002,50.150002,48.799999,48.799999,48.799999,2600
2021-05-18,50.380001,50.380001,48.750000,49.900002,49.900002,1400
2021-05-19,49.119999,50.000000,49.000000,49.000000,49.000000,2500
2021-05-20,49.000000,49.509998,49.000000,49.509998,49.509998,1200
2021-05-21,49.509998,50.150002,49.509998,49.990002,49.990002,3100
2021-05-24,49.700001,50.000000,49.689999,49.689999,49.689999,1500
2021-05-25,49.939999,50.000000,48.939999,49.860001,49.860001,19700
2021-05-26,49.000000,49.990002,48.750000,48.750000,48.750000,31500
2021-05-27,48.509998,49.169998,48.000000,48.000000,48.000000,3600
2021-05-28,48.500000,49.939999,48.500000,49.570000,49.570000,47000
